id;salary;month;paid;unpaid;date;transaction_id;payment_mode;remarks
1;92775;JAN;39624;51524;2020-09-16;Zimbabwe Dollar Salad;OTHERS;Personal Loan Account
2;58008;NOV;12951;47667;2020-09-16;Configuration;NETBANKING;Gorgeous ROI implement
3;25975;APR;22018;10946;2020-09-16;Tasty backing up Cambridgeshire;CASH;open-source Ouguiya
4;56573;APR;65845;24528;2020-09-16;GB;DEBITCARD;Credit Card Account
5;75271;JUL;88087;96131;2020-09-16;Outdoors backing up;NETBANKING;reboot
6;16075;NOV;83213;75663;2020-09-16;Electronics;CASH;Designer
7;63181;MAR;63400;907;2020-09-16;back-end Gorgeous back up;NETBANKING;deposit Mobility
8;10250;AUG;70817;77098;2020-09-17;Mississippi proactive Checking Account;DEBITCARD;Technician Architect calculate
9;13008;JUN;2212;82151;2020-09-16;Buckinghamshire compress;DEBITCARD;partnerships Terrace Hat
10;79480;OCT;68049;23005;2020-09-16;systemic;DEBITCARD;applications invoice unleash
